our_id,our_name,ds_id,ds_name,ds_equipment,ds_image,ds_gif,ds_target,ds_muscle_group
155,Good Morning (Barbell),0044,barbell good morning,barbell,images/0044-XlZ4lAC.jpg,videos/0044-XlZ4lAC.gif,hamstrings,lower back
156,Ab Wheel Rollout,0857,wheel rollerout,wheel roller,images/0857-NAgVB3t.jpg,videos/0857-NAgVB3t.gif,abs,lower back
157,Kettlebell Swing,0549,kettlebell swing,kettlebell,images/0549-UHJlbu3.jpg,videos/0549-UHJlbu3.gif,glutes,hamstrings
158,Close-Grip Bench Press,0030,barbell close-grip bench press,barbell,images/0030-J6Dx1Mu.jpg,videos/0030-J6Dx1Mu.gif,triceps,chest
159,Seated Calf Raise (Machine),0594,lever seated calf raise,leverage machine,images/0594-bOOdeyc.jpg,videos/0594-bOOdeyc.gif,calves,soleus
160,Nordic Curl,,,,,,,
161,Step-Up (Dumbbell),0431,dumbbell step-up,dumbbell,images/0431-aXtJhlg.jpg,videos/0431-aXtJhlg.gif,glutes,quadriceps
162,Arnold Press (Dumbbell),2137,dumbbell arnold press,dumbbell,images/2137-Xy4jlWA.jpg,videos/2137-Xy4jlWA.gif,delts,triceps
163,Trap Bar Deadlift,0811,trap bar deadlift,trap bar,images/0811-jQGwmxN.jpg,videos/0811-jQGwmxN.gif,glutes,hamstrings
164,Single Leg RDL (Dumbbell),1757,dumbbell single leg deadlift,dumbbell,images/1757-gKozT8X.jpg,videos/1757-gKozT8X.gif,glutes,hamstrings
165,Cable Crunch,0212,cable seated crunch,cable,images/0212-8xUv4J7.jpg,videos/0212-8xUv4J7.gif,abs,obliques
166,Russian Twist,0687,russian twist,body weight,images/0687-XVDdcoj.jpg,videos/0687-XVDdcoj.gif,abs,obliques
167,Glute Bridge (Bodyweight),3013,low glute bridge on floor,body weight,images/3013-u0cNiij.jpg,videos/3013-u0cNiij.gif,glutes,hamstrings
